Step	Training Loss
5	2.979400
10	1.574800
15	0.577300
20	0.442800
25	0.419000
30	0.377900
35	0.348500
40	0.358700
45	0.324500
50	0.276200
55	0.313800
60	0.297700
65	0.307200
70	0.284800
75	0.267300
80	0.279100
85	0.352200
90	0.296000
95	0.268900
100	0.280100
105	0.271100
110	0.308800
115	0.278600
120	0.294900
125	0.292600
130	0.294400
135	0.280500
140	0.280200
145	0.261200
150	0.276300
155	0.299000
160	0.275400
165	0.256300
170	0.262000
175	0.293000
180	0.291800
185	0.252500
190	0.280700
195	0.235300
200	0.246000
205	0.262000
210	0.345800
215	0.303500
220	0.285600
225	0.230500
230	0.245100
235	0.245000
240	0.202100
245	0.266200
250	0.256600
255	0.210600
CPU times: user 1h 4min 37s, sys: 31min 45s, total: 1h 36min 22s
Wall time: 1h 33min 51s
